ctp,external,real,\\text{ctp},DIM6
ctpI,external,real,\\text{ctpI},DIM6
cpQM,external,real,\\text{cpQM},DIM6
cpQ3,external,real,\\text{cpQ3},DIM6
cpt,external,real,\\text{cpt},DIM6
cpb,external,real,\\text{cpb},DIM6
cptb,external,real,\\text{cptb},DIM6
cptbI,external,real,\\text{cptbI},DIM6
ctW,external,real,\\text{ctW},DIM6
ctZ,external,real,\\text{ctZ},DIM6
ctWI,external,real,\\text{ctWI},DIM6
ctZI,external,real,\\text{ctZI},DIM6
cbW,external,real,\\text{cbW},DIM6
cbWI,external,real,\\text{cbWI},DIM6
ctG,external,real,\\text{ctG},DIM6
ctGI,external,real,\\text{ctGI},DIM6
cQlM1,external,real,\\text{cQlM1},DIM6
cQlM2,external,real,\\text{cQlM2},DIM6
cQlM3,external,real,\\text{cQlM3},DIM6
cQl31,external,real,\\text{cQl31},DIM6
cQl32,external,real,\\text{cQl32},DIM6
cQl33,external,real,\\text{cQl33},DIM6
cQe1,external,real,\\text{cQe1},DIM6
cQe2,external,real,\\text{cQe2},DIM6
cQe3,external,real,\\text{cQe3},DIM6
ctl1,external,real,\\text{ctl1},DIM6
ctl2,external,real,\\text{ctl2},DIM6
ctl3,external,real,\\text{ctl3},DIM6
cte1,external,real,\\text{cte1},DIM6
cte2,external,real,\\text{cte2},DIM6
cte3,external,real,\\text{cte3},DIM6
ctlS1,external,real,\\text{ctlS1},DIM6
ctlSI1,external,real,\\text{ctlSI1},DIM6
ctlS2,external,real,\\text{ctlS2},DIM6
ctlSI2,external,real,\\text{ctlSI2},DIM6
ctlS3,external,real,\\text{ctlS3},DIM6
ctlSI3,external,real,\\text{ctlSI3},DIM6
ctlT1,external,real,\\text{ctlT1},DIM6
ctlTI1,external,real,\\text{ctlTI1},DIM6
ctlT2,external,real,\\text{ctlT2},DIM6
ctlTI2,external,real,\\text{ctlTI2},DIM6
ctlT3,external,real,\\text{ctlT3},DIM6
ctlTI3,external,real,\\text{ctlTI3},DIM6
cblS1,external,real,\\text{cblS1},DIM6
cblSI1,external,real,\\text{cblSI1},DIM6
cblS2,external,real,\\text{cblS2},DIM6
cblSI2,external,real,\\text{cblSI2},DIM6
cblS3,external,real,\\text{cblS3},DIM6
cblSI3,external,real,\\text{cblSI3},DIM6
cQq83,external,real,\\text{cQq83},DIM6
cQq81,external,real,\\text{cQq81},DIM6
cQu8,external,real,\\text{cQu8},DIM6
cQd8,external,real,\\text{cQd8},DIM6
ctq8,external,real,\\text{ctq8},DIM6
ctu8,external,real,\\text{ctu8},DIM6
ctd8,external,real,\\text{ctd8},DIM6
cQq13,external,real,\\text{cQq13},DIM6
cQq11,external,real,\\text{cQq11},DIM6
cQu1,external,real,\\text{cQu1},DIM6
cQd1,external,real,\\text{cQd1},DIM6
ctq1,external,real,\\text{ctq1},DIM6
ctu1,external,real,\\text{ctu1},DIM6
ctd1,external,real,\\text{ctd1},DIM6
cQQ1,external,real,\\text{cQQ1},DIM6
cQQ8,external,real,\\text{cQQ8},DIM6
cQt1,external,real,\\text{cQt1},DIM6
cQb1,external,real,\\text{cQb1},DIM6
ctt1,external,real,\\text{ctt1},DIM6
ctb1,external,real,\\text{ctb1},DIM6
cQt8,external,real,\\text{cQt8},DIM6
cQb8,external,real,\\text{cQb8},DIM6
ctb8,external,real,\\text{ctb8},DIM6
ctQqu1,external,real,\\text{ctQqu1},DIM6
ctQqu1I,external,real,\\text{ctQqu1I},DIM6
ctQqu8,external,real,\\text{ctQqu8},DIM6
ctQqu8I,external,real,\\text{ctQqu8I},DIM6
cbQqd1,external,real,\\text{cbQqd1},DIM6
cbQqd1I,external,real,\\text{cbQqd1I},DIM6
cbQqd8,external,real,\\text{cbQqd8},DIM6
cbQqd8I,external,real,\\text{cbQqd8I},DIM6
cQtqd1,external,real,\\text{cQtqd1},DIM6
cQtqd1I,external,real,\\text{cQtqd1I},DIM6
cQtqd8,external,real,\\text{cQtqd8},DIM6
cQtqd8I,external,real,\\text{cQtqd8I},DIM6
cQbqu1,external,real,\\text{cQbqu1},DIM6
cQbqu1I,external,real,\\text{cQbqu1I},DIM6
cQbqu8,external,real,\\text{cQbqu8},DIM6
cQbqu8I,external,real,\\text{cQbqu8I},DIM6
ctQqu1T,external,real,\\text{ctQqu1T},DIM6
ctQqu1TI,external,real,\\text{ctQqu1TI},DIM6
ctQqu8T,external,real,\\text{ctQqu8T},DIM6
ctQqu8TI,external,real,\\text{ctQqu8TI},DIM6
cbQqd1T,external,real,\\text{cbQqd1T},DIM6
cbQqd1TI,external,real,\\text{cbQqd1TI},DIM6
cbQqd8T,external,real,\\text{cbQqd8T},DIM6
cbQqd8TI,external,real,\\text{cbQqd8TI},DIM6
cQtqd1T,external,real,\\text{cQtqd1T},DIM6
cQtqd1TI,external,real,\\text{cQtqd1TI},DIM6
cQtqd8T,external,real,\\text{cQtqd8T},DIM6
cQtqd8TI,external,real,\\text{cQtqd8TI},DIM6
cQbqu1T,external,real,\\text{cQbqu1T},DIM6
cQbqu1TI,external,real,\\text{cQbqu1TI},DIM6
cQbqu8T,external,real,\\text{cQbqu8T},DIM6
cQbqu8TI,external,real,\\text{cQbqu8TI},DIM6
cbtud1,external,real,\\text{cbtud1},DIM6
cbtud1I,external,real,\\text{cbtud1I},DIM6
cbtud8,external,real,\\text{cbtud8},DIM6
cbtud8I,external,real,\\text{cbtud8I},DIM6
cQtQb1,external,real,\\text{cQtQb1},DIM6
cQtQb8,external,real,\\text{cQtQb8},DIM6
cQtQb1I,external,real,\\text{cQtQb1I},DIM6
cQtQb8I,external,real,\\text{cQtQb8I},DIM6
ctpx13,external,real,\\text{ctpx13},FCNC
ctpx23,external,real,\\text{ctpx23},FCNC
ctpx31,external,real,\\text{ctpx31},FCNC
ctpx32,external,real,\\text{ctpx32},FCNC
ctpIx13,external,real,\\text{ctpIx13},FCNC
ctpIx23,external,real,\\text{ctpIx23},FCNC
ctpIx31,external,real,\\text{ctpIx31},FCNC
ctpIx32,external,real,\\text{ctpIx32},FCNC
cpQMx31,external,real,\\text{cpQMx31},FCNC
cpQMx32,external,real,\\text{cpQMx32},FCNC
cpQMIx31,external,real,\\text{cpQMIx31},FCNC
cpQMIx32,external,real,\\text{cpQMIx32},FCNC
cpQ3x31,external,real,\\text{cpQ3x31},FCNC
cpQ3x32,external,real,\\text{cpQ3x32},FCNC
cpQ3Ix31,external,real,\\text{cpQ3Ix31},FCNC
cpQ3Ix32,external,real,\\text{cpQ3Ix32},FCNC
cptx31,external,real,\\text{cptx31},FCNC
cptx32,external,real,\\text{cptx32},FCNC
cptIx31,external,real,\\text{cptIx31},FCNC
cptIx32,external,real,\\text{cptIx32},FCNC
cptbx13,external,real,\\text{cptbx13},FCNC
cptbx23,external,real,\\text{cptbx23},FCNC
cptbx31,external,real,\\text{cptbx31},FCNC
cptbx32,external,real,\\text{cptbx32},FCNC
cptbIx13,external,real,\\text{cptbIx13},FCNC
cptbIx23,external,real,\\text{cptbIx23},FCNC
cptbIx31,external,real,\\text{cptbIx31},FCNC
cptbIx32,external,real,\\text{cptbIx32},FCNC
ctAx13,external,real,\\text{ctAx13},FCNC
ctAx23,external,real,\\text{ctAx23},FCNC
ctAx31,external,real,\\text{ctAx31},FCNC
ctAx32,external,real,\\text{ctAx32},FCNC
ctAIx13,external,real,\\text{ctAIx13},FCNC
ctAIx23,external,real,\\text{ctAIx23},FCNC
ctAIx31,external,real,\\text{ctAIx31},FCNC
ctAIx32,external,real,\\text{ctAIx32},FCNC
ctZx13,external,real,\\text{ctZx13},FCNC
